Order ID,Segment,City,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
US-2016-118983,Home Office,Fort Worth,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858
US-2016-118983,Home Office,Fort Worth,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816
CA-2015-105893,Consumer,Madison,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176
CA-2017-137330,Corporate,Fremont,Central,Office Supplies,Art,Newell 318,19.46,7,0,5.0596
CA-2017-137330,Corporate,Fremont,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884
CA-2018-107727,Home Office,Houston,Central,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468
CA-2017-117590,Corporate,Richardson,Central,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737
CA-2017-117590,Corporate,Richardson,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
CA-2016-117415,Home Office,Houston,Central,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415
CA-2016-117415,Home Office,Houston,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
CA-2016-117415,Home Office,Houston,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147
CA-2016-117415,Home Office,Houston,Central,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564
CA-2018-120999,Corporate,Naperville,Central,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564
CA-2017-118255,Corporate,Eagan,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714
CA-2017-118255,Corporate,Eagan,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062
CA-2015-146703,Consumer,Westland,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784
CA-2016-115742,Consumer,New Albany,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634
CA-2016-115742,Consumer,New Albany,Central,Office Supplies,Labels,Avery 485,75.18,6,0,35.3346
CA-2016-115742,Consumer,New Albany,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.9568
CA-2016-115742,Consumer,New Albany,Central,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,17.0981
US-2016-164175,Home Office,Chicago,Central,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225
CA-2018-114440,Consumer,Jackson,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763
US-2018-118038,Corporate,Houston,Central,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344
US-2018-118038,Corporate,Houston,Central,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248
US-2018-118038,Corporate,Houston,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724
US-2015-147606,Consumer,Houston,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475
US-2018-119662,Home Office,Chicago,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549
CA-2018-155558,Consumer,Rochester,Central,Technology,Accessories,Logitech�LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,6.7966
CA-2018-155558,Consumer,Rochester,Central,Office Supplies,Labels,Avery 511,6.16,2,0,2.9568
CA-2017-159695,Home Office,Houston,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572
CA-2016-149587,Consumer,Minneapolis,Central,Office Supplies,Paper,Xerox 1999,12.96,2,0,6.2208
CA-2016-149587,Consumer,Minneapolis,Central,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.5354
CA-2016-149587,Consumer,Minneapolis,Central,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0,16.1504
CA-2017-149223,Corporate,Saint Paul,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0,22.5852
CA-2017-158568,Home Office,Chicago,Central,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184
CA-2017-158568,Home Office,Chicago,Central,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973
CA-2017-158568,Home Office,Chicago,Central,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396
CA-2017-129903,Consumer,Rochester,Central,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0,11.7208
CA-2016-129476,Home Office,Orland Park,Central,Technology,Accessories,Logitech�Gaming G510s - Keyboard,339.96,5,0.2,67.992
CA-2017-128867,Consumer,Urbandale,Central,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0,22.788
CA-2017-128867,Consumer,Urbandale,Central,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6,0,13.3476
US-2015-152030,Home Office,Houston,Central,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794
US-2015-134614,Consumer,Bloomington,Central,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.682
CA-2018-155376,Consumer,Independence,Central,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3,0,218.2518
CA-2017-114489,Corporate,Franklin,Central,Technology,Phones,Plantronics Cordless�Phone Headset�with In-line Volume - M214C,384.45,11,0,103.8015
CA-2017-114489,Corporate,Franklin,Central,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97,3,0,5.9988
CA-2017-114489,Corporate,Franklin,Central,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8,0,585.552
CA-2017-114489,Corporate,Franklin,Central,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55,5,0,80.6285
CA-2017-114104,Consumer,Edmond,Central,Office Supplies,Labels,Avery 519,14.62,2,0,6.8714
CA-2017-114104,Consumer,Edmond,Central,Technology,Phones,Avaya 5420 Digital phone,944.93,7,0,236.2325
CA-2015-164973,Home Office,New York City,East,Technology,Phones,Panasonic Kx-TS550,275.94,6,0,80.0226
